station_name,station_city,station_geopos,station_capacity,station_id
John West Road,Dallas,32.77836556117067::-96.88477725062552,36,372
3227-3229 South Canal Street,Chicago,41.95919491620764::-87.68335713903258,49,244
111th Avenue Southeast,Seattle,47.58331129528209::-122.3265634514883,7,2970
Eureka Drive,Los Angeles,34.20650471216367::-118.4509051841165,8,670
North Kildare Avenue,Chicago,41.98483241745647::-87.67393623837192,1,2088
Appalachian Lane,Miami,26.67292564778143::-80.24584795783481,7,2712
Dover Parkway,New York,40.77327850722885::-73.91315554520598,7,2692
West Congress Parkway,Chicago,41.8355700946039::-87.63741308418275,7,1592
Southwest Spokane Street,Seattle,26.57562498507145::-80.13710028837339,7,1912
LIRR Central Branch,New York,40.78693921040932::-73.76667799518437,8,1450
188-15 120th Avenue,New York,40.59160615451826::-73.98642700269998,7,2741
Dancing Crane Cafe,New York,40.69543128849615::-73.78487605140521,5,1285
Old Evanston Express Line,Chicago,42.04601254488726::-87.82827156558223,22,1226
Falconview Lane,Los Angeles,34.29788970812271::-118.7337489508232,7,2109
Marx Meadow Drive,San Francisco,37.68380115480836::-122.4031981110377,34,461
West Ann Lurie Place,Chicago,41.82497472534178::-87.6952119937867,7,1060
South Taylor Avenue,Los Angeles,33.91271120439195::-118.237295971372,43,924
Rodeo Drive,Dallas,32.91990391439288::-96.94480183487579,17,2850
Northeast 194th Street,Seattle,26.03934534878118::-80.37486883525001,32,1153
,Miami,26.61212267442992::-80.17334133914535,11,1346
Seminole Pratt Whitney Road,Miami,25.70204537887511::-80.33162013977402,28,3454
146th Avenue Southeast,Seattle,47.66716437386853::-122.2892350823422,13,1553
East Sable Circle,Seattle,47.65091854606428::-122.2979625676115,7,3348
Whitestone Expressway,New York,40.61993470320306::-73.95730164396731,16,3100
Ludlam Avenue,New York,40.60781692045147::-73.98289324901006,30,914
Waterlily Court,Miami,26.83228494281927::-80.08288796599601,13,3339
Teakwood Place,Dallas,33.00320332449775::-96.87706190503627,12,819
China Rose Drive,Dallas,32.69321724713633::-96.89377190421284,2,1577
Northwest 7th Street,Miami,26.51234433374309::-80.12853563094848,43,717
245 8th Street,San Francisco,37.80237598328484::-122.4239533844754,7,3101
Temescal Canyon Road,Los Angeles,34.1497116069914::-118.8065352430769,7,348
El Campo Drive,San Francisco,37.69142076208143::-122.414542711191,7,3506
Alice Avenue,Miami,26.67049300713888::-80.25309923193889,14,3155
Southwest Spokane Street,Seattle,26.17694732088654::-80.11238340040141,28,1951
,Seattle,47.66515583427243::-122.3608190991957,28,2704
Voncille Street,Dallas,32.75199443516815::-96.63853688470765,15,3612
110th Avenue Northeast,Seattle,25.67549153644649::-80.37397740115094,34,2728
Valley Drive,San Francisco,37.68878918453717::-122.4893446849465,7,1708
38-01 12th Street,New York,40.6481734890635::-73.72884592011576,7,2784
Northwest 33rd Terrace,Miami,25.71095327578835::-80.3296426897078,7,1457
33rd Street,New York,40.7787758807247::-73.80388651570117,30,2489
82 East 54th Street,New York,40.67194267078179::-73.86188099519265,28,1286
Oakmont Estates Boulevard,Miami,26.5085361827278::-80.07813099213139,7,2253
Northwest 25th Street,Miami,26.6202684199138::-80.11346727248217,18,264
East Timberview Lane,Dallas,32.69931583388847::-96.74062231815807,26,3295
13732 22nd Avenue Northeast,Seattle,25.71735084905329::-80.33866425696138,7,3628
Delphine Lane,Los Angeles,33.92740562640403::-118.3446494548153,7,3712
2807 Brown Street,New York,40.69785772691667::-73.8831643768392,24,3020
100-120 South Wacker Drive,Chicago,42.11550786601954::-88.10389073192464,7,3270
Velazquez Boulevard,Seattle,47.75380384147626::-122.230096338934,34,1160
Plummer Street,Los Angeles,34.00754935495562::-118.1426772749887,7,2818
Interurban Trail,Seattle,47.81432542909297::-122.2902805387579,30,3747
Laskey Mesa Trail,Los Angeles,34.16639266253939::-118.4873567667309,20,1759
Swift Avenue,San Francisco,37.75105696765262::-122.4561468485815,7,1403
2502 Cortelyou Road,New York,40.63257446415376::-73.92985109351288,7,1478
5618 Seaview Avenue Northwest,Seattle,47.48296288469049::-122.3047666389151,7,1809
North Miller Ferry Road,Dallas,32.69321724713633::-96.89377190421284,7,1737
North 103rd Street,Seattle,47.31461499926037::-122.2196801035624,7,1695
vernal pool,Los Angeles,34.21552177870321::-118.5061306837807,20,902
2855 West Arthington Street,Chicago,42.027607421925::-87.72746727079956,18,2547
Northeast 103rd Street,Miami,26.90831549036911::-80.13244915375567,18,3097
Holmes Circle,Los Angeles,34.24155519991366::-118.7476149013408,24,1633
76th Avenue Northeast,Seattle,47.64103865435687::-122.310081428682,7,3624
North Tyler Street,Dallas,32.86665117413145::-96.9774971480374,20,2212
Garapito Canyon Trail,Los Angeles,34.40339297860244::-118.7115056207243,7,2100
Southwest 104th Street,Seattle,47.49722001409689::-122.2608835361937,14,3581
Crisp Road,San Francisco,37.77516255849834::-122.4987828679384,33,2200
Grand Central Parkway,New York,40.72693434107222::-73.72450049589902,7,1475
Northwest 6th Street,Miami,26.74208030498684::-80.10340364259631,22,1561
College Avenue,San Francisco,37.76330703421634::-122.405521064103,34,2787
17th Avenue,San Francisco,37.79763798354846::-122.4627150792819,32,1419
Lynnwood Municipal Golf Course,Seattle,25.91222791094243::-80.22822759108178,7,1497
East 180th Street,New York,40.70857005025167::-73.82304600175009,25,3698
SW 195th Street,Miami,26.79133024061218::-80.06632964659231,8,2713
North Corral Road,Los Angeles,33.80595678112911::-118.2372229663699,7,1750
A Road,Miami,26.25953608016297::-80.18042730987629,14,2641
,Seattle,25.64078739206903::-80.40370479500704,7,2319
West 35th Street,Chicago,41.99717296755263::-87.76698879775029,36,1200
South Hoyne Avenue,Chicago,41.78745546545171::-87.62278639567482,41,127
West Janss Road,Los Angeles,34.27482999088535::-119.0673856201617,24,3283
Whittier Boulevard,Los Angeles,34.18707787230967::-118.6105765129991,7,2379
2435 South Harding Avenue,Chicago,42.02734928168174::-87.81206884577617,10,2812
2435 South Harding Avenue,Chicago,41.98626951211265::-87.70188815477792,5,3106
Huckleberry Court,San Francisco,37.78523191654889::-122.4161489954209,46,1305
Beacon Circle,Miami,26.28068703065162::-80.03748877536218,52,3685
Garapito Canyon Trail,Los Angeles,34.14895975369387::-118.9646107183407,27,3583
Stunt Road,Los Angeles,33.93125076894591::-118.244998115361,12,1274
2662 Ocean Avenue,New York,40.67002013346827::-73.77865226468589,7,2428
2415 Avenue J,New York,40.90257837033661::-73.84940735555917,2,2364
Southwest 164th Avenue,Miami,25.92154279186773::-80.3523166995564,27,1689
West 6th Place,Denver,39.77143370438819::-104.8530588136257,7,37
Pine Tree Terrace,Miami,26.28068703065162::-80.03748877536218,7,1957
Sutter Street,San Francisco,37.79972543495798::-122.4615624477548,6,2102
,Los Angeles,34.10505267836376::-118.7417343784212,7,1491
Interurban Trail,Seattle,47.63323258803908::-122.2971748477244,7,786
Bailey Road,Miami,25.79715384419191::-80.3849369897564,51,317
Hartland Street,Los Angeles,34.20352168689325::-118.8346945219951,33,1954
Arlee Avenue,Los Angeles,34.26154309338001::-118.7620766390231,48,3108
Maple Avenue,Dallas,33.10755983928984::-96.7694790019565,26,2836
East 15th Street,Miami,26.38596938185472::-80.07521013643036,7,547
Elliott Bay Trail,Seattle,47.62808558001082::-122.1528174354175,7,1785
Ulloa Street,San Francisco,37.76065011511566::-122.482239697505,29,2520
Continental Avenue,Los Angeles,34.27653269448568::-118.8330495501808,49,2220
6122 North Mozart Street,Chicago,41.95008503315977::-87.66699384989009,7,1090
2524 North Rutherford Avenue,Chicago,41.88195448909394::-87.69083199707647,10,1425
North Grape Avenue,Los Angeles,33.75764352847734::-118.2085341575652,7,903
Winona Boulevard,Los Angeles,33.97049156910635::-117.9983933902544,14,2468
West Country Club Drive,Miami,26.17100026220587::-80.29582599954593,24,3532
Des Moines Memorial Drive South,Seattle,47.79240751851243::-122.3073667894303,6,3425
South 130th Place,Seattle,26.63063304185032::-80.06639738542545,7,2745
85-25 262nd Street,New York,40.86079253459976::-73.86989046482313,35,894
2112 Ocean Parkway,New York,40.69628281115408::-73.8718496704209,29,1677
85th Place West,Seattle,47.40374029790148::-122.2167993778112,7,2009
Merrick Boulevard,New York,40.72352734539896::-73.74499125346658,18,1335
3832 North Odell Avenue,Chicago,41.86533658563555::-87.66647096114917,3,2148
36th Avenue,San Francisco,37.79260746315614::-122.4375643283099,7,1409
Catherine Street,Dallas,32.87321645009499::-96.97701385192224,7,2792
Adelfa Drive,Los Angeles,34.06802778820185::-118.4227947275464,17,941
4231 North Richmond Street,Chicago,41.87118770662719::-87.6710792171672,7,3387
Northwest 25th Street,Miami,26.61311591730791::-80.25104358728115,38,3733
Lyndon B Johnson Freeway,Dallas,33.04106422121492::-96.76149475928321,23,1442
Holly Hill Terrace,Los Angeles,33.82522947142407::-118.1058449258034,9,1539
88th Avenue South,Seattle,25.73148140293992::-80.38766257055033,5,2752
,New York,40.91843063552859::-73.81061371939258,7,1022
West Henry Street,Chicago,42.02721079177721::-87.6791078215946,31,2580
Stunt Road,Los Angeles,34.34468980089992::-118.9151271060001,44,1279
2131 North Wayne Avenue,Chicago,41.83294016378425::-87.71415390429827,30,884
Fremont Avenue,San Francisco,37.80063413120644::-122.4037466959424,10,1918
Bradley Road,Los Angeles,34.14776023205309::-118.2307527181193,29,1333
Coney Island Avenue,New York,40.66219833946008::-73.90449533849559,39,2708
South Zang Boulevard,Dallas,33.01076276469537::-96.79133734711341,48,1481
Spafford Avenue,Miami,25.84438820865622::-80.14311840945584,7,962
19-88 77th Street,New York,40.61356447405685::-73.93201230781575,34,931
Crestridge Street,Dallas,33.09958734992559::-96.72149267557502,7,2375
Pier A Avenue,Los Angeles,33.8958013277325::-117.9783073472539,25,2967
Yaupon Drive,Dallas,32.76187763685608::-96.65870204702007,25,1052
Inverrary Drive,Miami,26.84174719922798::-80.11071038394903,7,1851
Morris Park Facility,New York,40.71678564717717::-73.88408622393268,7,1317
Horseshoe Trace,Miami,26.60897634268746::-80.07542626198118,17,1185
2011 South Alaska Street,Seattle,47.64708956807865::-122.3582323096713,13,446
Devils Canyon Motorway,Los Angeles,33.93560732138754::-118.0706060308871,4,659
Central Avenue,New York,40.69312626020127::-73.8829344827341,7,3330
Palms Boulevard,Los Angeles,33.90446946366821::-118.1992073874492,27,3243
North Hill Drive,San Francisco,37.74699712201885::-122.4754942592847,7,3269
3332 North Damen Avenue,Chicago,41.90541290448936::-87.63956098510722,35,3620
Deveron Drive,Los Angeles,34.00604558185198::-118.3572514214451,7,1686
19th Street,San Francisco,37.61340812417677::-122.3607542138587,7,2668
Southwest 104th Terrace,Miami,25.74458380148418::-80.33523798841655,0,3386
Great Highway,San Francisco,37.7440759485244::-122.4566137651085,28,245
4343 South Tripp Avenue,Chicago,41.90111209493993::-87.77289597955775,28,2680
Southeast 30th Street,Seattle,26.11318637886378::-80.16692617108873,40,2258
Airport Boulevard,San Francisco,37.79852943674333::-122.4043117742914,41,1310
Levee Road,Dallas,32.943046797216::-96.63401042478932,7,434
Southwest 61st Avenue,Miami,26.14018946789696::-80.19140142985539,7,2443
Avenue M,New York,40.64617723440266::-73.98298982619357,17,2985
8545 4th Avenue Northeast,Seattle,47.76041546331267::-122.3618152586439,15,412
Duchess Court,Miami,26.24487406033813::-80.25158179079139,25,2924
Coal Creek Trail,Seattle,47.68765356921283::-122.3752149955706,34,69
James R. Herman Cruise Terminal,San Francisco,37.63688482661481::-122.4415250248164,24,2629
120th Avenue Northeast,Seattle,47.6069178120018::-122.1704814005354,23,3699
43-49 41st Street,New York,40.73294961538099::-73.67781592036526,7,1826
Los Feliz Drive,Los Angeles,34.15518885250886::-118.5931859119201,60,2478
136-54 72nd Avenue,New York,40.7856158893689::-73.77978911792489,7,1004
Westwood Drive,Chicago,42.08623837979844::-88.01243355283263,0,1854
Plymouth Avenue,San Francisco,37.76178797185368::-122.4355069457493,7,2254
501 Serramonte Boulevard,San Francisco,37.72952695549409::-122.4782124691726,21,3229
Northwest 83rd Avenue,Miami,26.1624453965046::-80.15707938547588,36,1447
Lawrence Road,Miami,26.2140343400478::-80.09317619516931,7,725
Little Bay Park Greenway,New York,40.76184431893699::-73.86627428390952,7,1253
,Seattle,47.77664333015696::-122.3502289339786,33,2777
Vienna Street,San Francisco,37.77743104038292::-122.5120836228287,9,2317
Via de Casas Sur,Miami,26.67722287655126::-80.09644469278714,7,3477
Senate Street,Dallas,32.96770220239898::-96.78808099848638,35,2360
El Dorado Avenue,Los Angeles,34.12213160230208::-118.7160061858576,31,3505
Ripley Street,San Francisco,37.70837343510649::-122.4216622370731,7,742
Mapleleaf Lane,Dallas,32.81753352411147::-96.85701802662552,7,3494
1501 East New York Avenue,New York,40.61356447405685::-73.93201230781575,20,2572
Dry Canyon Cold Creek Road,Los Angeles,34.32385466083937::-118.643375044032,7,1581
6201 Lake Washington Boulevard Northeast,Seattle,47.38582272825267::-122.2355770485974,13,2871
Turnberry Court,Seattle,47.40551390020156::-122.2880415479869,16,1338
East Breezy Lane,Miami,26.59343730596638::-80.08439954244635,7,3372
47th Avenue,San Francisco,37.78071152345115::-122.4345800007112,7,3203
Northwest 70th Street,Miami,25.97484274395151::-80.37461858792307,15,43
South 144th Street,Seattle,47.76167147437521::-122.2952087238261,6,230
Cresthaven Terrace,Dallas,32.83160646433702::-96.83243699375971,26,1127
440 Neptune Avenue,New York,40.67633460869854::-73.80708412548039,7,2794
,New York,40.71443754684409::-73.8333379929668,7,2516
2018 South Leavitt Street,Chicago,42.10098607979617::-88.02561940010226,7,290
212th Place Southwest,Seattle,47.53549952356357::-122.3225260970688,33,1852
1430 Northwest 61st Street,Seattle,47.64822911572672::-122.3057491339418,30,3262
South 3rd Street,Seattle,47.44242471683796::-122.2934981995293,7,2057
W Exposition Drive,Denver,39.66682081833013::-104.9726915429843,0,122
36th Avenue,San Francisco,37.73859971761946::-122.4498381015606,7,3541
Windswept Place,Los Angeles,34.25351689325434::-118.5386760133846,15,2316
South Lewis Road,Los Angeles,34.2328685908133::-118.8669956400846,4,1325
6721 34th Avenue Northwest,Seattle,47.6313058445849::-122.3517086931592,29,3435
Illinois Northern,Chicago,41.87279695355377::-87.64699832706761,7,1705
Ives Dairy Road,Miami,25.69950270534526::-80.31259764604135,7,436
137-36 133rd Avenue,New York,40.73177993776626::-73.85669058794551,7,167
Balmy Alley,San Francisco,37.75093474213602::-122.50043441795,7,595
El Camino del Mar,San Francisco,37.73157480993601::-122.4969677767031,33,1765
Burbank Boulevard,Los Angeles,34.28308691958041::-118.5978366804636,7,2961
Annie Street,San Francisco,37.7120030101204::-122.430294741779,19,1176
Grand Central Parkway,New York,40.70638036364676::-73.81668725075099,7,2189
Southwest 133rd Terrace,Seattle,47.59388234732243::-122.1451396685849,7,155
2416 West Cullom Avenue,Chicago,41.91134701626734::-87.75912736768059,7,1730
Tower 18,Chicago,41.99980837810361::-87.87008917957924,7,2519
Barwyn Lane,Dallas,32.81138179676194::-96.86532024285846,7,23
28th Avenue,San Francisco,37.78349293841852::-122.4851670822089,7,3156
East 68th Street,Los Angeles,34.22826667401736::-119.0608820830464,7,2733
81-3 258th Street,New York,40.71702486600976::-73.70586683099486,11,1692
North Western Avenue,Chicago,42.04601254488726::-87.82827156558223,21,2271
Bailey Road,Miami,26.00831405012401::-80.321334470756,7,1734
Via Del Rey,Los Angeles,34.02384961376426::-118.1918520165916,42,2948
Arlington Heights Police Department,Chicago,42.11727727107748::-88.12020769373783,3,1987
Boeing 4-69,Seattle,47.78136647787374::-122.3228634839448,29,972
,Miami,25.63668364133774::-80.42405572134462,7,2244
Northaven Road,Dallas,32.88350024829238::-96.7343300688254,10,2415
68-72 East 59th Street,Chicago,42.06754666269877::-87.92317880344399,18,594
1652 64th Street,New York,40.68412094050892::-73.76558056729964,7,137
Denton Drive,Dallas,32.8033091044145::-96.65286562319413,7,1364
West Commercial Boulevard,Seattle,47.45120582167655::-122.273616469089,7,3615
Park Boulevard Trail,San Francisco,37.7725081184009::-122.3920198651449,2,2311
South Peachtree Road,Dallas,32.98135259457484::-96.6716721069928,9,455
Holywood Road,Denver,,32,16
Lyndon B Johnson Freeway,Dallas,32.7688640335413::-96.66601025982281,7,1958
Northwest 11th Street,Seattle,26.57271345663964::-80.14854406774242,7,622
Gardenview Drive,Dallas,33.22373955889562::-96.73282699885522,7,205
69-39 67th Place,New York,40.7211233425169::-73.93056872318155,26,133
Northeast Perkins Way,Seattle,47.69791355020236::-122.3647945524802,29,760
172-24 133rd Avenue,New York,40.68053719329203::-73.82605111173875,23,2134
Macarthur Avenue,San Francisco,37.75630787777734::-122.4775083764739,4,467
57th Avenue South,Seattle,26.29672417113259::-80.17469590423516,7,3500
West Bluff,San Francisco,37.8006436610525::-122.4282109880809,8,2188
Queens Boulevard,New York,40.72203202757213::-73.73052368445926,7,3478
Fish Tail Palm Court,Miami,26.4098814866396::-80.11550746883449,13,177
154th Avenue Southeast,Seattle,47.64506470308041::-122.3807228177221,25,3391
Hondo Canyon Trail,Los Angeles,33.95390829323268::-118.2717711280679,13,285
Southeast 17th Street,Seattle,47.52372550652473::-122.3453934728152,7,226
Chisholm Hike and Bike Trail (North East path),Dallas,33.20786711529338::-96.83006160989444,11,2501
1290 20th Avenue,San Francisco,37.78886719995729::-122.4378880396743,57,2090
103rd Avenue,New York,40.77574442345854::-73.89325990390266,34,2465
Duboce Avenue,San Francisco,37.6644685216882::-122.4653044247904,7,2175
Dallas Parkway,Dallas,32.98484724018117::-96.67533420245903,7,1473
Washington Street,San Francisco,37.77513008487268::-122.4305656513306,7,1448
West Marginal Way South,Seattle,26.33415897970668::-80.08845155755965,21,3677
Southwest 137th Court,Seattle,47.81958697963273::-122.2914812701576,7,3050
South Artesian Avenue,Chicago,42.06434492342729::-87.87888191362316,13,2296
South Hampton Road,Dallas,32.87453474074809::-96.81350088576603,29,1623
1520-1530 West Pershing Road,Chicago,41.9523438912111::-87.81412294643211,29,491
Falling Star Avenue,Los Angeles,33.79076281948461::-118.2318776836504,7,342
Marmora Avenue,Chicago,41.97334428132706::-87.82015879410143,34,2648
Index Avenue Northeast,Seattle,47.45834085808018::-122.2803377086089,7,3684
Maple Avenue,Dallas,33.10755983928984::-96.7694790019565,42,2785
459 East 26th Street,New York,40.79692819267911::-73.83291829906483,23,1070
Atlantic Circle,Seattle,47.47238956890776::-122.3161715144344,7,2457
Valley Vista Boulevard,Los Angeles,33.93119724079241::-118.0245534032737,7,2646
Keswick Drive,Dallas,33.20533235668078::-96.88677507616995,7,2845
K Avenue,Dallas,33.16830085698482::-96.98149136653338,27,3088
Kilfinan Street,Los Angeles,34.0503200382114::-118.2752521124303,44,2949
Fairview Avenue,Dallas,33.00661817468559::-96.85846721318127,22,1760
Pinehurst Drive,Seattle,26.21472005532539::-80.26228569069164,39,2561
Sacramento Street,San Francisco,37.7207282526195::-122.4063182451222,18,734
Shoreline Interurban Trail,Seattle,25.95316431747341::-80.25859801534973,7,2868
Mountain Creek Parkway,Dallas,32.79073344710859::-96.84858402629587,7,2750
,Miami,25.59869792241012::-80.4129493064917,27,3467
Watt Avenue,San Francisco,37.66237552781379::-122.4240631727245,9,2653
West Fernlea Drive,Miami,26.07404547187091::-80.17314125340469,7,1384
Saint Valdimir Orthodox Church,Los Angeles,34.11339111478805::-118.4766567790317,36,2498
2435 West Belmont Avenue,Chicago,42.03666850427022::-87.86399088527845,4,1838
North Andrews Avenue,Miami,26.80980610809626::-80.06619826804327,29,2139
11th Avenue,San Francisco,37.64673870396231::-122.4090286471606,22,1245
Northwest 138th Street,Miami,25.58898968920334::-80.32283894816145,7,2125
Southwest 37th Street,Miami,25.74148222427079::-80.30717641082194,50,782
Preserve Way,Miami,26.8057547934266::-80.19207408958867,6,1266
42nd Avenue,New York,40.59555530554419::-73.98101512137329,7,42
174-03 125th Avenue,New York,40.7651865542271::-73.83202316014561,7,3278
Sunset Boulevard,San Francisco,37.7126811142312::-122.4585820843668,7,1420
Emerson Avenue,Los Angeles,34.06432027098698::-118.4579940962372,25,546
Alabama Street,San Francisco,37.79047763179543::-122.4653398998515,42,2206
1290 20th Avenue,San Francisco,37.7826576585753::-122.4072021418137,7,3413
East Center Road,Los Angeles,34.24420743950651::-119.0560384022613,7,3069
,Los Angeles,34.08776756461474::-118.4097791756033,18,1412
Amigo Avenue,Los Angeles,34.18707787230967::-118.6105765129991,41,2310
Cascade Walk,San Francisco,37.77875365862511::-122.5073972593375,32,525
20th Avenue Northeast,Seattle,26.63264854928527::-80.21583537886707,7,330
Mount Nebon Cemetery,New York,40.74813934728844::-73.89752286646865,7,329
Spooner Street,New York,40.73898974599112::-73.95207830580689,9,802
Southwest 136th Terrace,Miami,25.9732560461522::-80.28440285529125,0,322
Grand Avenue,Los Angeles,34.22497369641274::-118.8831465579859,16,2921
4609 Coit Road,Dallas,33.12899594013925::-96.71526550811788,7,2556
1910 West Larchmont Avenue,Chicago,41.89524696325913::-87.7407726678849,7,845
Mitchell Parkway,Dallas,32.95556491884636::-96.74579079046808,8,527
West Plano Parkway,Dallas,32.69086072918622::-97.08032339100347,5,2305
North Mozart Street,Chicago,42.093602280616::-88.00767771302081,7,2027
Londelius Street,Los Angeles,34.19964698869097::-119.0454373212487,13,3374
Pier 1,San Francisco,37.72351155608992::-122.3921484419767,7,3296
North Hampton Road,Dallas,32.88885976461013::-97.24238371460699,7,690
Paris Street,San Francisco,37.63072826072903::-122.443175731131,20,488
Vinings Circle,Seattle,47.75621725473538::-122.1981542135832,56,2453
Country Valley Road,Los Angeles,34.06683919731399::-118.654876761454,7,2217
West 190th Street,Los Angeles,34.00728752693796::-118.1155876100377,28,1434
Monaco Parkway,Denver,39.67099687172351::-105.1265413308311,10,165
103rd Avenue,New York,40.67633460869854::-73.80708412548039,7,387
Great Highway,San Francisco,37.65625169395125::-122.4105975144582,7,64
Lone Star Trail,Dallas,32.83364073463814::-96.7263864886414,7,2463
Clearview Expressway,New York,40.79358987835678::-73.85028915789781,30,3689
Forest Hill Boulevard,Miami,25.86217333094922::-80.1562825190861,5,2937
IND Queens Boulevard Line,New York,40.70502625730212::-73.71155191379731,7,2477
Sunnyside Drive,San Francisco,37.79165965361644::-122.3975471933483,7,3736
Skyline Boulevard,San Francisco,37.77987429735927::-122.5043411340857,26,2362
South Lumber Street,Chicago,41.91888938276804::-87.7023380908926,17,1283
28th Avenue,San Francisco,37.66536298662093::-122.3954396388719,7,2095
46th Avenue West,Seattle,47.38638845060207::-122.2177059900057,7,1449
Bixby Road,Los Angeles,34.18140738152722::-118.3734779930518,7,1524
3365 North Central Park Avenue,Chicago,42.11550786601954::-88.10389073192464,34,2945
Skillman Street,Dallas,32.94284906514464::-96.65108662044584,23,1670
North Beach Street,Dallas,33.03560837015937::-96.74091695065496,16,2987
West 35th Street,Chicago,42.03451620794934::-87.85450591421977,32,856
Church Street,Chicago,41.90630211339934::-87.63392045208803,11,1798
109th Avenue,New York,40.74602371829533::-73.70223192507682,7,2035
Camino Magenta,Los Angeles,34.02384961376426::-118.1918520165916,12,1487
117-36 200th Street,New York,40.76619168358005::-73.89591428031945,12,2474
Perimeter Road,Dallas,32.80673276883202::-96.86044337942317,7,3063
Rolling Green Road,Miami,26.21140846484786::-80.16463956296224,6,688
Old Cutler Trail,Miami,26.29818859383954::-80.08863175418874,7,2446
2411 Northeast 75th Street,Seattle,47.81544200304402::-122.2925431945839,0,2149
Vanderbilt Avenue,Dallas,32.842760598936::-96.75315373696739,15,582
Frank Street,New York,40.90624091048723::-73.82256934108288,12,3614
Northeast 183rd Street,Seattle,47.56707250428722::-122.3324737006899,7,2560
127-08 Farmers Boulevard,New York,40.61837615600427::-74.01026676167457,49,2157
Gus Thomasson Road,Dallas,33.17902992800245::-96.86904780637126,46,2247
Hermon A MacNeil Park,New York,40.68892084123833::-73.88085803372756,23,2329
23rd Avenue,San Francisco,37.69351520643244::-122.4253080945551,7,309
West 34th Street,Miami,26.57513504833521::-80.091288562914,26,1774
Buckingham Road,Dallas,33.02118271188213::-96.69609302926867,13,1752
Old Meadow Way,Miami,26.68775086042908::-80.15227460017471,7,153
Thanks-Giving Square,Dallas,32.9886424974765::-96.72618120682307,5,2506
Palm Canyon Lane,Los Angeles,34.1783348494717::-119.0243685321495,35,721
Creek Bend Road,Dallas,32.65297354395519::-96.73635880648357,17,3703
Palm Ridge Boulevard,Miami,25.89352553858368::-80.43287221227619,1,3548
Vera Canyon Drive,Los Angeles,34.36141782649666::-118.9543928690596,7,3279
Simi Hills Golf Course,Los Angeles,33.94163333972146::-118.1500875582361,13,2012
Southwest 5th Court,Miami,25.65455677381217::-80.45640274197667,33,983
North Washtenaw Avenue,Chicago,42.05558055078986::-87.85565724521382,6,1665
Clay Street,San Francisco,37.76579456459921::-122.5030079875623,3,1502
Norfolk St & Broome St,New York,,26,4
Baytree Lane,Miami,26.86498981764532::-80.08635778794483,7,331
Falling Star Avenue,Los Angeles,34.1399586366448::-118.7070898563316,28,3577
Anza Street,San Francisco,37.74640657575566::-122.4086930158434,11,3245
Burke Street,Los Angeles,34.2071981893337::-118.9194548410726,14,1703
Bruton Road,Dallas,32.76027313117761::-96.79212647486769,35,1323
West Washington Boulevard,Chicago,42.04841954544309::-87.8407850987106,44,286
Balcom Canyon Road,Los Angeles,34.21880922421672::-118.6007092488065,16,3363
John West Road,Dallas,32.96624547133142::-96.9910981640285,7,2377
Dennis the Menace Park,Los Angeles,34.3192701070983::-118.7546464266731,22,905
Pinyon Pine Court,Miami,26.64032208386326::-80.27584719193865,29,3253
2452 North Clybourn Avenue,Chicago,41.89162656489831::-87.64350684921025,1,1032
South 36th Street,Seattle,47.79186362563387::-122.3280619866347,7,3688
Syracuse Drive,Dallas,32.83950075580853::-96.98341348185222,7,3687
Lockheed Avenue,Dallas,33.0243158769952::-96.63019331142164,7,1653
2802-2816 South Kilbourn Avenue,Chicago,41.95548836918532::-87.80814453473413,7,3202
May Creek Trail,Seattle,25.87228486053652::-80.24643196245174,29,3237
West Palatine Road,Chicago,41.95325390366435::-87.68854642906265,7,1792
Haight Street,San Francisco,37.79672716807418::-122.4841287973968,30,2051
BROOKHAVEN RUNNING TRACK (2 MILES),Dallas,32.83221827357334::-96.94868264727228,7,2032
Owens Street,San Francisco,37.76522329159835::-122.4883034176871,7,3513
West Northgate Drive,Dallas,32.7908440300865::-97.36801608447568,34,535
Louie's Dim Sum Inc.,San Francisco,37.74608013978803::-122.5055673848195,7,511
South 168th Lane,Seattle,47.32959977585122::-122.2337814615511,26,1931
McGraw Street,Seattle,47.61580922004317::-122.1940237751372,56,2344
2025 North La Crosse Avenue,Chicago,42.016842333163::-87.79526649512151,51,249
12-23 148th Street,New York,40.90624091048723::-73.82256934108288,29,2709
Prado Del Grandioso,Los Angeles,33.87726244913527::-118.0350530831466,12,1158
Southwest 22nd Terrace,Miami,26.32202378538453::-80.16897669332754,7,2757
Kilfinan Street,Los Angeles,34.0956834998413::-118.0431361762491,14,2874
Whitton Drive East,Miami,26.69635773507831::-80.071714393438,7,1262
Balcom Avenue,New York,40.82239827531775::-73.88678097456868,44,120
Metropolitan Avenue,New York,40.78830778205752::-73.88571624094423,36,1394
Hensley Avenue,San Francisco,37.78217071916534::-122.4107769835556,7,1746
South 249th Place,Seattle,25.61810028246949::-80.42942102283203,23,100
Pacific Coast Highway,Los Angeles,34.18707787230967::-118.6105765129991,32,1693
4609 Coit Road,Dallas,32.70229862934705::-96.87874702873908,14,18
Riverside Drive,Dallas,32.83448740877978::-96.88710813256083,7,3533
Alma Drive,Dallas,32.79267758796109::-96.99077179707047,1,3393
Rush Street,Los Angeles,33.85181204849484::-118.0601244037792,7,2624
West Wheatland Road,Dallas,32.86079974043032::-97.22997701505037,51,1560
Bradley Road,Los Angeles,34.08078957504966::-119.0301028428345,7,1544
